PSTAT_START
name= test3, pid= 4
start= 193, duration= 1500, priority= 0
start= 1694, duration= 3004, priority= 1
start= 4699, duration= 0, priority= 0
start= 4700, duration= 0, priority= 0
start= 4701, duration= 0, priority= 0
start= 4702, duration= 0, priority= 0
start= 4703, duration= 0, priority= 0
start= 4704, duration= 0, priority= 0
start= 4705, duration= 0, priority= 0
start= 4706, duration= 0, priority= 0
start= 4707, duration= 0, priority= 0
start= 4708, duration= 0, priority= 0
start= 4709, duration= 0, priority= 0
start= 4710, duration= 0, priority= 0
start= 4711, duration= 0, priority= 0
start= 4712, duration= 0, priority= 0
start= 4713, duration= 0, priority= 0
start= 4714, duration= 0, priority= 0
start= 4715, duration= 0, priority= 0
start= 4716, duration= 0, priority= 0
start= 4717, duration= 0, priority= 0
start= 4718, duration= 0, priority= 0
start= 4719, duration= 0, priority= 0
start= 4720, duration= 0, priority= 0
start= 4721, duration= 0, priority= 0
start= 4722, duration= 0, priority= 0
start= 4723, duration= 0, priority= 0
start= 4724, duration= 0, priority= 0
start= 4725, duration= 0, priority= 0
start= 4726, duration= 0, priority= 0
start= 4727, duration= 0, priority= 0
start= 4728, duration= 0, priority= 0
start= 4729, duration= 0, priority= 0
start= 4730, duration= 0, priority= 0
start= 4731, duration= 0, priority= 0
start= 4732, duration= 0, priority= 0
start= 4733, duration= 0, priority= 0
start= 4734, duration= 0, priority= 0
start= 4735, duration= 0, priority= 0
start= 4736, duration= 0, priority= 0
start= 4737, duration= 0, priority= 0
start= 4738, duration= 0, priority= 0
start= 4739, duration= 0, priority= 0
start= 4740, duration= 0, priority= 0
start= 4741, duration= 0, priority= 0
start= 4742, duration= 0, priority= 0
start= 4743, duration= 0, priority= 0
start= 4744, duration= 0, priority= 0
start= 4745, duration= 0, priority= 0
start= 4746, duration= 0, priority= 0
start= 4747, duration= 0, priority= 0
start= 4748, duration= 0, priority= 0
start= 4749, duration= 0, priority= 0
start= 4750, duration= 0, priority= 0
start= 4751, duration= 0, priority= 0
start= 4752, duration= 0, priority= 0
start= 4753, duration= 0, priority= 0
start= 4754, duration= 0, priority= 0
start= 4755, duration= 0, priority= 0
start= 4756, duration= 0, priority= 0
start= 4757, duration= 0, priority= 0
start= 4758, duration= 0, priority= 0
start= 4759, duration= 0, priority= 0
start= 4760, duration= 0, priority= 0
start= 4761, duration= 0, priority= 0
start= 4762, duration= 0, priority= 0
start= 4763, duration= 0, priority= 0
start= 4764, duration= 0, priority= 0
start= 4765, duration= 0, priority= 0
start= 4766, duration= 0, priority= 0
start= 4767, duration= 0, priority= 0
start= 4768, duration= 0, priority= 0
start= 4769, duration= 0, priority= 0
start= 4770, duration= 0, priority= 0
start= 4771, duration= 0, priority= 0
start= 4772, duration= 0, priority= 0
start= 4773, duration= 0, priority= 0
start= 4774, duration= 0, priority= 0
start= 4775, duration= 0, priority= 0
start= 4776, duration= 0, priority= 0
start= 4777, duration= 0, priority= 0
start= 4778, duration= 0, priority= 0
start= 4779, duration= 0, priority= 0
start= 4780, duration= 0, priority= 0
start= 4781, duration= 0, priority= 0
start= 4782, duration= 0, priority= 0
start= 4783, duration= 0, priority= 0
start= 4784, duration= 0, priority= 0
start= 4785, duration= 0, priority= 0
start= 4786, duration= 0, priority= 0
start= 4787, duration= 0, priority= 0
start= 4788, duration= 0, priority= 0
start= 4789, duration= 0, priority= 0
start= 4790, duration= 0, priority= 0
